,證券代碼,簡稱,TEJ產業指數,class
460,2801,彰銀         ,TEJF01  金融- 金融中介        ,F
461,2809,京城銀       ,TEJF01  金融- 金融中介        ,F
462,2812,台中銀       ,TEJF01  金融- 金融中介        ,F
463,2816,旺旺保       ,TEJF02  金融- 保險業          ,F
464,2820,華票         ,TEJF01  金融- 金融中介        ,F
465,2832,台產         ,TEJF02  金融- 保險業          ,F
466,2834,臺企銀       ,TEJF01  金融- 金融中介        ,F
467,2836,高雄銀       ,TEJF01  金融- 金融中介        ,F
468,2838,聯邦銀       ,TEJF01  金融- 金融中介        ,F
469,2845,遠東銀       ,TEJF01  金融- 金融中介        ,F
470,2849,安泰銀       ,TEJF01  金融- 金融中介        ,F
471,2850,新產         ,TEJF02  金融- 保險業          ,F
472,2851,中再保       ,TEJF02  金融- 保險業          ,F
473,2852,第一保       ,TEJF02  金融- 保險業          ,F
474,2855,統一證       ,TEJF03  金融- 證券投信業      ,F
475,2867,三商壽       ,TEJF02  金融- 保險業          ,F
476,2880,華南金       ,TEJF01  金融- 金融中介        ,F
477,2881,富邦金       ,TEJF01  金融- 金融中介        ,F
478,2882,國泰金       ,TEJF01  金融- 金融中介        ,F
479,2883,開發金       ,TEJF01  金融- 金融中介        ,F
480,2884,玉山金       ,TEJF01  金融- 金融中介        ,F
481,2885,元大金       ,TEJF01  金融- 金融中介        ,F
482,2886,兆豐金       ,TEJF01  金融- 金融中介        ,F
483,2887,台新金       ,TEJF01  金融- 金融中介        ,F
484,2888,新光金       ,TEJF01  金融- 金融中介        ,F
485,2889,國票金       ,TEJF01  金融- 金融中介        ,F
486,2890,永豐金       ,TEJF01  金融- 金融中介        ,F
487,2891,中信金       ,TEJF01  金融- 金融中介        ,F
488,2892,第一金       ,TEJF01  金融- 金融中介        ,F
489,2897,王道銀行     ,TEJF01  金融- 金融中介        ,F
749,5871,中租-KY      ,TEJF01  金融- 金融中介        ,F
750,5876,上海商銀     ,TEJF01  金融- 金融中介        ,F
751,5880,合庫金       ,TEJF01  金融- 金融中介        ,F
754,6005,群益證       ,TEJF03  金融- 證券投信業      ,F
755,6024,群益期       ,TEJF03  金融- 證券投信業      ,F
845,6592,和潤企業     ,TEJF01  金融- 金融中介        ,F
989,9941,裕融         ,TEJF01  金融- 金融中介        ,F
